dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,Co-op,co-op,Play Modes & Social,34,24,10,58,0.7500,0.5000,-0.2500,"Car Rental Simulator: Prologue - Early Days, Depths Of Horror: Mushroom Day, Echoes of Aincrad"
tag,raw-tag,Co-op Campaign,co-op campaign,Other,5,5,0,10,0.0000,0.0000,0.0000,"FiresOut!, Dark Age Dinos, Hello World"
tag,raw-tag,Coding,coding,Other,1,0,1,1,0.1250,0.0000,-0.1250,Pixel Forge
tag,raw-tag,Cold War,cold war,Other,0,1,-1,1,-0.1250,0.0000,0.1250,Garfield Kart 2 - All You Can Drift
tag,raw-tag,Collectathon,collectathon,Other,10,8,2,18,0.0000,0.0000,0.0000,"OddFauna : Secret of the Terrabeast, With Me: Aquatic Time, Rotminers"
tag,raw-tag,Colony Sim,colony sim,Other,4,2,2,6,0.3750,-0.1250,-0.5000,"Nested Lands, Crown of Greed, GlagStone"
tag,raw-tag,Colorful,colorful,Indie & Casual,46,41,5,87,0.3750,0.3750,0.0000,"Black Hole Fishing, Drunkslop: Pub crawl COOP, OddFauna : Secret of the Terrabeast"
tag,raw-tag,Combat,combat,Action & Combat,33,32,1,65,0.7500,0.7500,0.0000,"Explodey Towers, Ovidius (Blood for Love), Power Of The Horde"
tag,raw-tag,Combat Racing,combat racing,Other,4,2,2,6,0.1250,0.1250,0.0000,"Redline JDM Drift, Hyperlane Highway, Garfield Kart 2 - All You Can Drift"
tag,raw-tag,Comedy,comedy,Indie & Casual,24,24,0,48,-0.2500,0.2500,0.5000,"Drunkslop: Pub crawl COOP, Quack Hunters, Sanechek: Lost Coins"
tag,raw-tag,Comic Book,comic book,Other,5,5,0,10,0.0000,-0.3750,-0.3750,"Xenonauts 2, DODORI, Master of Chaos"
tag,raw-tag,Competitive,competitive,Other,6,1,5,7,0.1250,0.0000,-0.1250,"Dark Roll 2, Project X: Light Years, Drag Racing 3D: Streets 2"
tag,raw-tag,Conspiracy,conspiracy,Other,2,3,-1,5,0.0000,-0.1250,-0.1250,"Ovidius (Blood for Love), Streets of Miami VR, Crown Of Hispania"
tag,raw-tag,Controller,controller,Other,25,22,3,47,-0.2500,0.5000,0.7500,"Culdcept The First Saturn Tribute, Fallen Tear: The Ascension, Fear Faith"
tag,raw-tag,Conversation,conversation,Other,11,5,6,16,0.0000,0.1250,0.1250,"Sanechek: Lost Coins, Jokerina: Lust Card, Tomorrow's Love Puzzle"
